YEAR,ID,HRS1,MARITAL,DIVORCE,SPWRKSTA,SPHRS1,CHILDS,AGE,EDUC,SPEDUC,SEX,RACE,RES16,REG16,RINCOME,REGION,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,ROMANCE,LIVEWITH,HAPPROM,WILLWED1,WILLWED2,SPHMEWRK,FAIRHWRK,EARNMORE,FAMFINAN,EARNMORE,TRADMOD,SHARESEP,EMOTEOTH,CHLDIDEL,PREMARSX,MENBEN,WOMENBEN,CHLDBEN,ALLBEN,NOONEBEN,PARTNERS,MATESEX
1996,165,25,1,2,7,,4,79,11,12,1,1,6,2,12,2,5,6,5,7,,,,,,,,,1,,,,,2,3,,,,,,0,
1996,166,45,1,2,1,40,2,44,16,16,1,1,6,2,12,2,4,5,5,6,,,,,,3,1,4,,4,2,2,2,2,4,2,2,1,2,2,1,1
1996,167,20,5,,,,0,20,14,97,1,1,5,2,4,2,3,7,1,2,,,,,,,,,,,,,,3,4,,,,,,2,1
1996,168,40,1,2,1,40,1,53,19,19,2,1,3,2,12,2,5,7,5,7,,,,,,4,1,4,,4,2,1,2,2,4,1,1,1,1,2,1,1
1996,169,36,1,2,2,20,2,43,12,12,1,1,6,2,12,2,6,,,,,,,,,,,,1,,,,,,,,,,,,1,1
1996,170,,1,2,5,,4,64,12,14,2,1,6,2,,2,1,,,,,,,,,,,,4,,,,,,,,,,,,1,1
1996,171,45,1,2,1,40,2,49,12,12,1,3,2,0,11,2,0,7,2,7,,,,,,4,1,4,,4,2,1,1,2,1,1,1,1,1,2,,
1996,172,25,1,2,7,,2,40,14,14,1,1,6,2,12,2,2,6,2,7,,,,,,,,,4,,,,,2,4,,,,,,1,1
1996,173,40,1,2,1,40,4,43,11,14,1,2,6,2,11,2,2,2,2,7,,,,,,,,,2,,,,,0,4,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,175,,2,2,,,3,68,15,97,2,1,2,2,,2,1,2,7,7,2,,,,2,,,,,,2,2,2,2,4,1,2,1,1,2,0,
1996,176,35,1,1,1,35,0,32,14,12,2,1,5,2,12,2,5,2,4,7,,,,,,1,1,5,,5,1,1,2,2,4,1,2,2,2,2,1,1
1996,177,16,1,2,1,37,2,64,13,12,1,1,6,2,12,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,
1996,178,70,5,,,,0,37,20,97,1,1,3,2,12,2,5,4,2,2,,,,,,,,,,,,,,8,4,,,,,,3,1
1996,179,60,5,,,,0,35,16,97,1,1,1,2,12,2,0,5,4,5,,,,,,,,,,,,,,2,4,,,,,,2,1
1996,180,60,2,2,,,2,68,12,97,1,1,4,0,12,2,4,6,5,7,,,,,,,,,,,,,,4,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,182,,1,2,1,40,1,36,12,8,1,1,1,0,12,2,1,,,,,,,,,3,1,4,,4,1,1,1,,,2,2,1,1,2,1,1
1996,183,50,1,2,1,60,2,47,20,20,2,1,4,9,12,2,0,5,3,7,,,,,,3,1,4,,4,2,1,2,2,3,1,2,2,2,2,1,1
1996,184,,1,2,1,40,8,68,16,13,1,1,6,2,,2,1,5,3,5,,,,,,,,,4,,,,,4,3,,,,,,1,1
1996,185,60,1,1,2,20,1,47,16,14,1,1,1,2,12,2,4,6,5,7,,,,,,,,,2,,,,,1,3,,,,,,1,1
1996,186,30,1,1,2,20,0,53,12,18,2,1,5,2,12,2,2,4,5,6,,,,,,4,1,1,,1,2,1,2,2,4,1,1,1,2,2,1,1
1996,187,,2,2,,,0,47,16,97,2,1,6,0,4,2,3,1,6,5,2,,,,1,,,,,,2,1,1,3,4,1,1,1,1,2,0,
1996,188,54,3,,,,2,39,19,97,2,1,3,1,12,2,0,,,,1,2,2,2,,,,,,,2,2,2,,,2,1,1,2,2,1,1
1996,189,,1,2,1,40,3,63,12,14,2,1,5,2,,2,4,6,6,7,,,,,,,,,1,,,,,9,3,,,,,,1,1
1996,190,55,1,2,7,,2,43,16,16,1,1,5,9,13,9,5,7,2,7,,,,,,,,,1,,,,,2,4,,,,,,1,1
